YMR056C	P04710	S000004660
YDL237W	Q07716	S000002396
YDR063W	Q12156	S000002470
YER080W	P40053	S000000882
YMR092C	P46680	S000004698
YIL079C	P40507	S000001341
YDL175C	Q12476	S000002334
YBR059C	P38080	S000000263
YDR264C	P39010	S000002672
YOR034C	Q12013	S000005560
YOR335C	P40825	S000005862
YJL122W	P47019	S000003658
YMR170C	P47771	S000004780
YMR169C	P54114	S000004779
YOR374W	P46367	S000005901
YER073W	P40047	S000000875
YPL061W	P54115	S000005982
YOR175C	Q08548	S000005701
YNL148C	P53904	S000005092
YBR110W	P16661	S000000314
YNL048W	P53954	S000004993
YNR030W	P53730	S000005313
YGL047W	P53178	S000003015
YBR070C	P38242	S000000274
YGL065C	P43636	S000003033
YBL082C	P38179	S000000178
YPL227C	P40350	S000006148
YOR002W	Q12001	S000005528
YBR243C	P07286	S000000447
YOR067C	P40351	S000005593
YNL219C	P53868	S000005163
YGL021W	P43633	S000002989
YBL009W	P32789	S000000105
YML086C	P54783	S000004551
YNL270C	P38971	S000005214
YOL130W	Q08269	S000005490
YFL050C	P43553	S000001844
YLR089C	P52893	S000004079
YDR111C	P52892	S000002518
YKR021W	P36117	S000001729
YJL084C	P47029	S000003620
YGR225W	P50082	S000003457
YML035C	P15274	S000004498
YDR242W	P22580	S000002650
YBR211C	P38313	S000000415
YOR378W	Q08902	S000005905
YBR158W	P38285	S000000362
YGL156W	P22855	S000003124
YJR047C	P19211	S000003808
YEL036C	P32629	S000000762
YKL047W	P36090	S000001530
YHR126C	P38832	S000001168
YPR128C	Q06497	S000006332
YMR010W	Q03687	S000004612
YPR180W	Q06624	S000006384
YCL050C	P16550	S000000555
YDR530C	P22108	S000002938
YNL172W	P53886	S000005116
YDL008W	Q12157	S000002166
YLR127C	Q12440	S000004117
YDR118W	Q04601	S000002525
YOR249C	Q08683	S000005775
YLR102C	Q12107	S000004092
YBR151W	P38281	S000000355
YKL103C	P14904	S000001586
YKL157W	P32454	S000001640
YBR286W	P37302	S000000490
YHR113W	P38821	S000001155
YDR525W	Q04413	S000002933
YNL077W	P53940	S000005021
YJR005W	P27351	S000003765
YKL135C	P36000	S000001618
YBL037W	P38065	S000000133
YPR029C	Q12028	S000006233
YPL195W	Q08951	S000006116
YGR261C	P46682	S000003493
YPL259C	Q00776	S000006180
YHL019C	P38700	S000001011
YBR288C	P38153	S000000492
YOL062C	Q99186	S000005423
YKL114C	P22936	S000001597
YBL019W	P38207	S000000115
YNL094W	P53933	S000005038
YIL040W	P40532	S000001302
YJL075C	P47036	S000003611
YLR170C	P35181	S000004160
YJR058C	Q00381	S000003819
YJL024C	P47064	S000003561
YML022W	P49435	S000004484
YDR441C	P36973	S000002849
YNL065W	P53943	S000005009
YPR192W	P0CD91	S000006396
YLL052C	P0CD90	S000003975
YFL054C	P43549	S000001840
YBR149W	P38115	S000000353
YMR041C	Q04212	S000004644
YER036C	P40024	S000000838
YIL062C	P40518	S000001324
YLR370C	Q05933	S000004362
YKL013C	P33204	S000001496
YGL105W	P46672	S000003073
YNR035C	P53731	S000005318
YBR234C	P38328	S000000438
YHR013C	P07347	S000001055
YCR048W	P25628	S000000644
YNR019W	P53629	S000005302
YDL192W	P11076	S000002351
YDL137W	P19146	S000002296
YOR094W	P40994	S000005620
YOL058W	P22768	S000005419
YJL071W	P40360	S000003607
YJL088W	P05150	S000003624
YHR018C	P04076	S000001060
YER069W	Q01217	S000000871
YMR062C	Q04728	S000004666
YOL140W	P18544	S000005500
YMR042W	P07249	S000004645
YML099C	P05085	S000004565
YDR173C	P07250	S000002580
YDR376W	P48360	S000002784
YGL157W	P53111	S000003125
YNL020C	P53974	S000004965
YBR164C	P38116	S000000368
YPL051W	Q02804	S000005972
YHL040C	P38731	S000001032
YHL047C	P38724	S000001039
YDR380W	Q06408	S000002788
YDR127W	P08566	S000002534
YGL148W	P28777	S000003116
YDR035W	P14843	S000002442
YBR249C	P32449	S000000453
YPR060C	P32178	S000006264
YGL202W	P53090	S000003170
YDR421W	Q04052	S000002829
YHR137W	P38840	S000001179
YDR106W	Q04549	S000002513
YHR129C	P38696	S000001171
YDL029W	P32381	S000002187
YJR065C	P47117	S000003826
YJL081C	P80428	S000003617
YNL059C	P53946	S000005004
YLR085C	Q12509	S000004075
YPR034W	Q12406	S000006238
YOR141C	Q12386	S000005667
YMR033W	Q05123	S000004636
YPR199C	Q06596	S000006403
YPR200C	Q06597	S000006404
YPR201W	Q06598	S000006405
YLR392C	P18634	S000004384
YLR154W-A	Q8TGM7	S000028675
YLR154W-E	Q8TGM5	S000028676
YGR068C	P53244	S000003300
YLR242C	Q06541	S000004232
YDR101C	Q03862	S000002508
YPR085C	Q06822	S000006289
YMR116C	P38011	S000004722
YOR058C	P50275	S000005584
YJL115W	P32447	S000003651
YDL197C	P32448	S000002356
YIL130W	P40467	S000001392
YJL170C	P46993	S000003706
YKL185W	P34233	S000001668
YMR119W	P54074	S000004725
YNL159C	P53895	S000005103
YNL008C	P53983	S000004953
YKL052C	P35734	S000001535
YGR097W	P48361	S000003329
YDL088C	Q05166	S000002246
YPR145W	P49089	S000006349
YGR124W	P49090	S000003356
YDR321W	P38986	S000002729
YLR155C	P0CZ17	S000004145
YLR157C	P0CX77	S000004147
YLR158C	P0CX78	S000004148
YLR160C	P0CX79	S000004150
YPR093C	Q06834	S000006297
YBL069W	P35183	S000000165
YER101C	P39945	S000000903
YDR184C	Q04005	S000002592
YGL017W	P16639	S000002985
YOR377W	P40353	S000005904
YGR177C	P53296	S000003409
YLL042C	Q07879	S000003965
YPR049C	Q12527	S000006253
YBR217W	P38316	S000000421
YPR185W	Q06628	S000006389
YBR128C	P38270	S000000332
YCR068W	P25641	S000000664
YMR159C	Q03818	S000004769
YLR423C	Q06410	S000004415
YFR021W	P43601	S000001917
YOL082W	P35193	S000005442
YGL180W	P53104	S000003148
YDL113C	Q07528	S000002271
YPL100W	Q02887	S000006021
YCL038C	P25568	S000000543
YLR431C	Q06671	S000004423
YLR189C	Q06321	S000004179
YJL178C	P46989	S000003714
YPL166W	Q12092	S000006087
YNL242W	P53855	S000005186
YDR022C	Q12421	S000002429
YIL146C	P40458	S000001408
YLR356W	Q06485	S000004348
YOL083W	Q12292	S000005443
YJL185C	P46983	S000003721
YLR211C	Q05789	S000004201
YLR312C	Q06159	S000004303
YNR007C	P40344	S000005290
YOR152C	Q99325	S000005678
YPL250C	Q12048	S000006171
YNL223W	P53867	S000005167
YPL149W	Q12380	S000006070
YHR171W	P38862	S000001214
YBL078C	P38182	S000000174
YDL149W	Q12142	S000002308
YPR026W	P48016	S000006230
YMR301C	P40416	S000004916
YNR002C	P32907	S000005285
YDR384C	Q12359	S000002792
YBL099W	P07251	S000000195
YLR393W	P18496	S000004385
YNL315C	P32453	S000005259
YJL180C	P22135	S000003716
YLR295C	Q12349	S000004286
YPL271W	P21306	S000006192
YDL004W	Q12165	S000002162
YDR377W	Q06405	S000002785
YML081C-A	P81450	S000007247
YOL077W-A	P81451	S000007339
YJR121W	P00830	S000003882
YPR020W	Q12233	S000006224
YDR350C	P50273	S000002758
YNR020C	P53722	S000005303
YMR098C	Q03153	S000004704
YBR039W	P38077	S000000243
YPL078C	P05626	S000005999
YDR298C	P09457	S000002706
Q0085	P00854	S000007268
YKL016C	P30902	S000001499
Q0080	P00856	S000007267
YML116W	P13090	S000004584
YAL020C	P31386	S000000018
YNL259C	P38636	S000005203
YOR079C	Q12067	S000005605
YFL010W-A	P32450	S000001955
YKL004W	P36107	S000001487
YOR011W	Q08409	S000005537
YLR114C	Q12500	S000004104
YOL078W	Q08236	S000005438
YMR068W	Q04749	S000004672
YJR001W	P47082	S000003761
YEL064C	P39981	S000000790
YKL146W	P36062	S000001629
YNL101W	P50944	S000005045
YBL089W	P38176	S000000185
YER119C	P40074	S000000921
YIL088C	P40501	S000001350
YPR122W	P40851	S000006326
YIL140W	P38928	S000001402
YIL124W	P40471	S000001386
YLL063C	Q12226	S000003986
YOR113W	P41696	S000005639
YGR224W	P50080	S000003456
YOR134W	Q12128	S000005660
YBR068C	P38084	S000000272
YDR046C	P41815	S000002453
YIL015W	P12630	S000001277
YKR099W	P22035	S000001807
YHR208W	P38891	S000001251
YJR148W	P47176	S000003909
YJL020C	P47068	S000003557
YPL255W	Q12365	S000006176
YHR040W	P38772	S000001082
YMR237W	Q05029	S000004850
YKR027W	P36122	S000001735
YJL095W	Q01389	S000003631
YER167W	P33306	S000000969
YDR361C	Q06338	S000002769
YDR375C	P32839	S000002783
YIL033C	P07278	S000001295
YLR399C	P35817	S000004391
YDL070W	Q07442	S000002228
YAL060W	P39714	S000000056
YAL061W	P39713	S000000057
YNL039W	P46678	S000004984
YOL164W	Q08347	S000005524
YBR200W	P29366	S000000404
YER155C	P39960	S000000957
YPL115C	P32873	S000006036
YPL161C	P39011	S000006082
YLR412W	Q06688	S000004404
YIL004C	P22804	S000001266
YPR176C	P20133	S000006380
YKR068C	P36149	S000001776
YJL031C	Q00618	S000003568
YML077W	Q03630	S000004542
YJR053W	P47113	S000003814
YOR198C	P38934	S000005724
YDR299W	Q06631	S000002707
YGR282C	P15703	S000003514
Q0110	P03873	S000007271
Q0115	Q9ZZW7	S000007272
Q0120	P03879	S000007273
YHR101C	P38813	S000001143
YCL029C	P11709	S000000534
YER016W	P40013	S000000818
YGR286C	P32451	S000003518
YNR058W	P50277	S000005341
YNR057C	P53630	S000005340
YNR056C	P53744	S000005339
YJR089W	P47134	S000003849
YBR270C	P38346	S000000474
YJL058C	P47041	S000003594
YKL061W	P35727	S000001544
YFL007W	P43583	S000001887
YLR408C	Q06071	S000004400
YER177W	P29311	S000000979
YDR099W	P34730	S000002506
YPL217C	Q08965	S000006138
YBR141C	P38278	S000000345
YIL096C	P40493	S000001358
YLR063W	Q12291	S000004053
YJR025C	P47096	S000003786
YJR078W	P47125	S000003839
YJL060W	P47039	S000003596
YBL098W	P38169	S000000194
YLR231C	Q05979	S000004221
YFR047C	P43619	S000001943
YDR428C	Q04066	S000002836
YNL271C	P41832	S000005215
YNL233W	P53858	S000005177
YNL166C	P53890	S000005110
YIL159W	P40450	S000001421
YGR230W	P50084	S000003462
YBL085W	P38041	S000000181
YER114C	P39969	S000000916
YAL044W-A	Q3E793	S000007586
YGL220W	P53082	S000003188
YAL046C	P39724	S000000044
YLR267W	Q06150	S000004257
YNL042W	P53958	S000004987
YNL275W	P53838	S000005219
YLR078C	P25385	S000004068
YCR032W	P25356	S000000628
YDL141W	P48445	S000002300
YLL015W	P14772	S000003938
YDL074C	Q07457	S000002232
YLR015W	P43132	S000004005
YDL231C	Q07660	S000002390
YNR051C	P53741	S000005334
YGR246C	P29056	S000003478
YHR036W	P38770	S000001078
YBL097W	P38170	S000000193
YPL084W	P48582	S000006005
YGL007W	P53194	S000002975
YPR057W	Q99177	S000006261
YER172C	P32639	S000000974
YGL247W	P53062	S000003216
YOL077C	Q08235	S000005437
YDL037C	Q12140	S000002195
YDR275W	Q05611	S000002683
YLR465C	O13558	S000004457
YNL269W	P53841	S000005213
YNR069C	P53755	S000005352
YOL137W	Q08280	S000005497
YBR290W	P38356	S000000494
YPR171W	Q06604	S000006375
YFL025C	P43571	S000001869
YGR142W	P53286	S000003374
YPL069C	Q12051	S000005990
YDR252W	P40314	S000002660
YGR188C	P41695	S000003420
YMR055C	P26448	S000004659
YOR026W	P26449	S000005552
YGL174W	P46947	S000003142
YAR014C	P27637	S000000069
YEL029C	P39988	S000000755
YNR027W	P53727	S000005310
YJL188C	O94143	S000003724
YLR074C	Q08004	S000004064
YOR078W	Q08492	S000005604
YMR014W	Q04347	S000004616
YCR047C	P25627	S000000643
YER014C-A	P85052	S000007590
YDR241W	Q03783	S000002649
YFL023W	P43573	S000001871
YLR062C	Q07992	S000004052
YKL092C	P33314	S000001575
YCL014W	P25558	S000000520
YDL151C	Q12064	S000002310
YCR063W	P25337	S000000659
YGR262C	P53323	S000003494
YJR092W	P47136	S000003852
YCR038C	P25300	S000000634
YLR319C	P41697	S000004311
YOR299W	Q08754	S000005825
YLR353W	P41698	S000004345
YGR041W	P53226	S000003273
YDL099W	Q12191	S000002257
YMR275C	P48524	S000004888
YML111W	Q03758	S000004579
YLR226W	Q05949	S000004216
YER159C	P40096	S000000961
YNL305C	P48558	S000005249
YKL005C	P36106	S000001488
YHR114W	P38822	S000001156
YDR531W	Q04430	S000002939
YIL083C	P40506	S000001345
YKL088W	P36076	S000001571
YGR277C	P53332	S000003509
YDR196C	Q03941	S000002604
YML102W	Q04199	S000004570
YDR423C	P24813	S000002831
YNL278W	P53836	S000005222
YGR134W	P53280	S000003366
YFL028C	P43569	S000001866
YOR276W	P12962	S000005802
YKR036C	P36130	S000001744
YNL288W	P53829	S000005232
YER048C	P39101	S000000850
YFL029C	P43568	S000001865
YPL048W	P29547	S000005969
YEL063C	P04817	S000000789
YKL007W	P28495	S000001490
YIL034C	P13517	S000001296
YPL111W	P00812	S000006032
YLR438W	P07991	S000004430
YML042W	P32796	S000004506
YOR125C	P41735	S000005651
YMR280C	P39113	S000004893
YGR036C	P53223	S000003268
YPL178W	Q08920	S000006099
YJR060W	P17106	S000003821
YGR140W	P32504	S000003372
YLR175W	P33322	S000004165
YNL161W	P53894	S000005105
YJL209W	P07252	S000003745
YHL038C	P03874	S000001030
YPL215W	P21560	S000006136
YGR174C	P37267	S000003406
YBR120C	P07253	S000000324
YIL043C	P38626	S000001305
YDL069C	P14066	S000002227
YDR197W	P14905	S000002605
YKL208W	P36038	S000001691
YER168C	P21269	S000000970
YLR220W	P47818	S000004210
YDR270W	P38995	S000002678
YKL011C	Q03702	S000001494
YGR217W	P50077	S000003449
YPR025C	P37366	S000006229
YGR150C	P48237	S000003382
YKR066C	P00431	S000001774
YAL021C	P31384	S000000019
YMR038C	P40202	S000004641
YIL142W	P39076	S000001404
YJL014W	P39077	S000003551
YDL143W	P39078	S000002302
YJR064W	P40413	S000003825
YDR188W	P39079	S000002596
YJL111W	P42943	S000003647
YJL008C	P47079	S000003545
YLR110C	Q12127	S000004100
YLR390W-A	O13547	S000006429
YDR134C	Q7LHD1	S000002541
YBR131W	P38273	S000000335
YLR307W	Q06702	S000004298
YLR308W	Q06703	S000004299
YCR002C	P25342	S000000595
YJR076C	P32458	S000003837
YLR215C	Q05791	S000004205
YHR107C	P32468	S000001149
YDL220C	P32797	S000002379
YFR028C	Q00684	S000001924
YAR019C	P27636	S000000072
YKL022C	P09798	S000001505
YAL038W	P00549	S000000036
YDR182W	P40986	S000002590
YGL116W	P26309	S000003084
YOR074C	P06785	S000005600
YHR166C	P16522	S000001209
YAL041W	P11433	S000000039
YLR310C	P04821	S000004301
YFR036W	P14724	S000001932
YBL084C	P38042	S000000180
YBR160W	P00546	S000000364
YLR314C	P32457	S000004306
YOR257W	P06704	S000005783
YOL139C	P07260	S000005499
YDR054C	P14682	S000002461
YDL165W	P06100	S000002324
YDR168W	P06101	S000002575
YCR093W	P25655	S000000689
YFL009W	P07834	S000001885
YDR364C	P40968	S000002772
YLR229C	P19073	S000004219
YGL155W	P18898	S000003123
YLR103C	Q08032	S000004093
YDL126C	P25694	S000002284
YCR094W	P25656	S000000690
YDL132W	Q12018	S000002290
YGL190C	Q00362	S000003158
YMR001C	P32562	S000004603
YJL194W	P09119	S000003730
YPL160W	P26637	S000006081
YLR418C	Q06697	S000004410
YDL017W	P06243	S000002175
YJR057W	P00572	S000003818
YDL164C	P04819	S000002323
YLR245C	Q06549	S000004235
YGL003C	P53197	S000002971
YBR029C	P38221	S000000233
YMR213W	Q03654	S000004826
YGL130W	Q01159	S000003098
YER061C	P39525	S000000863
YMR168C	P40969	S000004778
YPL228W	O13297	S000006149
YOR112W	Q12453	S000005638
YIL003W	P40558	S000001265
YDR301W	Q06632	S000002709
YLR115W	Q12102	S000004105
YML036W	Q03705	S000004500
YGL029W	P53188	S000002997
YCL064C	P25379	S000000569
YLR098C	P43634	S000004088
YGL206C	P22137	S000003174
YER164W	P32657	S000000966
YBR274W	P38147	S000000478
YPL008W	P22516	S000005929
YDR254W	P38907	S000002662
YER026C	P08456	S000000828
YGR157W	P05374	S000003389
YNL192W	P08004	S000005136
YBR038W	P14180	S000000242
YBR023C	P29465	S000000227
YLR330W	Q12114	S000004322
YJL099W	P40955	S000003635
YHR142W	P38843	S000001184
YER030W	P40019	S000000832
YDR267C	Q05583	S000002675
YHR052W	P38779	S000001094
YMR198W	Q01649	S000004811
YOR349W	P40987	S000005876
YPL241C	P46670	S000006162
YMR138W	P39110	S000004746
YOR028C	P40917	S000005554
YEL061C	P27895	S000000787
YGR207C	P42940	S000003439
YOR356W	Q08822	S000005883
YLR346C	Q06139	S000004338
YJL158C	P47001	S000003694
YNR001C	P00890	S000005284
YCR005C	P08679	S000000598
YPR001W	P43635	S000006205
YIL035C	P15790	S000001297
YOR061W	P19454	S000005587
YGL019W	P43639	S000002987
YOR039W	P38930	S000005565
YLR133W	P20485	S000004123
YBR135W	P20486	S000000339
YNL298W	P48562	S000005242
YGR108W	P24868	S000003340
YPR119W	P24869	S000006323
YDL155W	P24870	S000002314
YLR210W	P24871	S000004200
YPR120C	P30283	S000006324
YGR109C	P32943	S000003341
YGR167W	P17891	S000003399
YGR110W	P53264	S000003342
YLR117C	Q12309	S000004107
YGL215W	P35190	S000003183
YMR199W	P20437	S000004812
YPL256C	P20438	S000006177
YAL040C	P13365	S000000038
YOR250C	Q08685	S000005776
YMR012W	Q03690	S000004614
YKL137W	P36064	S000001620
YBL059C-A	Q3E7A4	S000007488
YMR194C-B	Q3E7A9	S000028514
YBR109C	P06787	S000000313
YFR014C	P27466	S000001910
YOL016C	P22517	S000005376
YML057W	P14747	S000004521
YDL156W	Q12510	S000002315
YPR013C	Q12145	S000006217
YLR003C	Q07897	S000003993
YLR433C	P23287	S000004425
YKL190W	P25296	S000001673
YAL058W	P27825	S000000054
YDR357C	Q06333	S000002765
YNL225C	P53865	S000005169
YFR046C	P43618	S000001942
YBR155W	P33313	S000000359
YIL157C	P40452	S000001419
YPL189C-A	Q3E823	S000028527
YJL062W-A	Q3E7B2	S000007611
YLR218C	Q05809	S000004208
YMR244C-A	Q3E846	S000004857
Q0105	P00163	S000007270
YLL050C	Q03048	S000003973
YGL223C	P53079	S000003191
YGR120C	P53271	S000003352
YER157W	P40094	S000000959
YPR105C	Q06096	S000006309
YNL051W	P53951	S000004996
YNL041C	P53959	S000004986
YGL005C	P53195	S000002973
YML071C	Q04632	S000004536
YDL145C	P53622	S000002304
YBR003W	P18900	S000000207
YOL008W	Q08058	S000005368
YLR290C	Q05892	S000004281
YNR041C	P32378	S000005324
YOL096C	P27680	S000005456
YDR204W	O13525	S000002612
YML110C	P49017	S000004578
YGR255C	P53318	S000003487
YGL119W	P27697	S000003087
YLR201C	Q05779	S000004191
YBL045C	P07256	S000000141
YNL336W	P53822	S000005280
YNR075W	P52924	S000005358
YBR203W	P38308	S000000407
YGL263W	P53053	S000003232
YBR302C	P0CX12	S000000506
YML132W	P0CX13	S000004601
YFL062W	P43542	S000001832
YJR161C	P47187	S000003922
YGR295C	P53344	S000003527
YDL248W	Q07788	S000002407
YHL048W	P38723	S000001040
YKL219W	P36034	S000001702
YOR316C	P32798	S000005843
YPL172C	P21592	S000006093
YPL132W	P19516	S000006053
YLR038C	Q01519	S000004028
YGL191W	P32799	S000003159
YML129C	P39103	S000004598
YER141W	P40086	S000000943
YJL003W	P47081	S000003540
YLL009C	Q12287	S000003932
YGR062C	P53239	S000003294
YLL018C-A	Q3E731	S000007245
Q0045	P00401	S000007260
YDR231C	Q04935	S000002639
YHR116W	P38824	S000001158
YDR119W-A	Q2V2P9	S000113555
Q0250	P00410	S000007281
Q0275	P00420	S000007283
YGL187C	P04037	S000003155
YNL052W	P00424	S000004997
YIL111W	P00425	S000001373
YHR051W	P00427	S000001093
YMR256C	P10174	S000004869
YLR395C	P04039	S000004387
YDL067C	P07255	S000002225
YKL179C	P34237	S000001662
YOR303W	P07258	S000005829
YJR109C	P03965	S000003870
YGR247W	P53314	S000003479
YDR155C	P14832	S000002562
YHR057C	P23285	S000001099
YML078W	P25719	S000004543
YCR069W	P25334	S000000665
YDR304C	P35176	S000002712
YLR216C	P53691	S000004206
YJR032W	P47103	S000003793
YNR028W	P53728	S000005311
YJL172W	P27614	S000003708
YNL130C	P17898	S000005074
YOR100C	Q12289	S000005626
YDL142C	Q07560	S000002301
YDR223W	Q04930	S000002631
YHR209W	P38892	S000001252
YGR189C	P53301	S000003421
YGR218W	P30822	S000003450
YLR429W	Q06440	S000004421
YHR146W	P38845	S000001189
YLR213C	Q05790	S000004203
YOR031W	P41902	S000005557
YOL063C	Q08226	S000005424
YNL027W	P53968	S000004972
YLR241W	Q06538	S000004231
YGL238W	P33307	S000003207
YNR010W	P33308	S000005293
YKL049C	P36012	S000001532
YLR087C	Q12150	S000004077
YBR036C	P35206	S000000240
YBR161W	P38287	S000000365
YMR025W	Q04368	S000004627
YOL007C	Q08054	S000005367
YNL232W	P53859	S000005176
YCR086W	P25651	S000000682
YIL132C	P40465	S000001394
YMR048W	Q04659	S000004651
YPL200W	Q08955	S000006121
YJR084W	P47130	S000003844
YDR179C	Q03981	S000002586
YLR380W	Q06705	S000004372
YPR030W	Q12734	S000006234
YIL169C	P40442	S000001431
YFR020W	P43600	S000001916
YOL159C	Q08300	S000005519
YBR042C	P38226	S000000246
YIL036W	P40535	S000001298
YLR394W	Q06032	S000004386
YDR256C	P15202	S000002664
YMR094W	P35203	S000004700
YMR078C	P49956	S000004683
YPL018W	Q02732	S000005939
YLR381W	Q12748	S000004373
YPR135W	Q01454	S000006339
YHR191C	P38877	S000001234
YDR151C	P47976	S000002558
YPL181W	Q08923	S000006102
YKL139W	Q03957	S000001622
YJL006C	P46962	S000003543
YML112W	P46963	S000004580
YMR180C	Q03220	S000004792
YHR109W	P38818	S000001151
YCR015C	P25616	S000000608
YBR291C	P38152	S000000495
YPR124W	P49573	S000006328
YHR175W	P38865	S000001218
YLR411W	Q06686	S000004403
YCR054C	P25355	S000000650
YOL145C	P89105	S000005505
YLR286C	P29029	S000004276
YDR371W	Q06350	S000002779
YGR088W	P06115	S000003320
YMR264W	P38428	S000004877
YKL090W	P36075	S000001573
YGL110C	P53137	S000003078
YML101C	Q04201	S000004568
YOR042W	Q08412	S000005568
YGR003W	P53202	S000003235
YHR053C	P0CX80	S000001095
YHR055C	P0CX81	S000001097
YGL166W	P15315	S000003134
YPL177C	P41817	S000006098
YPR158W	Q06469	S000006362
YMR240C	Q02554	S000004853
YNL286W	P53830	S000005230
YNL155W	P53899	S000005099
YDR163W	Q03772	S000002570
YDR482C	Q03375	S000002890
YGR278W	P53333	S000003510
YGL128C	P52868	S000003096
YLR323C	P53769	S000004315
YNL245C	P53854	S000005189
YPL064C	Q02770	S000005985
YDL209C	Q12046	S000002368
YCL007C	P25603	S000000513
YGL027C	P53008	S000002995
YCR017C	P25618	S000000610
YKL096W	P28319	S000001579
YKL096W-A	P43497	S000001956
YML054C	P00175	S000004518
YNL111C	P40312	S000005055
YJR048W	P00044	S000003809
YOR037W	P38909	S000005563
YAL039C	P06182	S000000037
YEL039C	P00045	S000000765
YBR112C	P14922	S000000316
YDL117W	Q07533	S000002275
YDR430C	P32898	S000002838
YJL005W	P08678	S000003542
YAL012W	P31373	S000000010
YGR155W	P32582	S000003387
YOR065W	P07143	S000005591
YKL087C	Q00873	S000001570
YDR016C	Q12248	S000002423
YKR083C	P36162	S000001791
YBR233W-A	P69850	S000007595
YDR320C-A	P69851	S000007604
YML070W	P54838	S000004535
YFL053W	P43550	S000001841
YIR027C	P32375	S000001466
YIR029W	P25335	S000001468
YIR032C	P32459	S000001471
YIR028W	Q04895	S000001467
YJR152W	P15365	S000003913
YIR031C	P21826	S000001470
YKR034W	P26343	S000001742
YIR023W	P21657	S000001462
YNL314W	P21705	S000005258
