idr_name,NAME,"GO:1903214,regulation of protein targeting to mitochondrion","GO:0006626,protein targeting to mitochondrion","GO:0006613,cotranslational protein targeting to membrane","GO:1903955,positive regulation of protein targeting to mitochondrion","GO:0005739,mitochondrion","GO:0005743,mitochondrial inner membrane","GO:0005759,mitochondrial matrix","GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005730,nucleolus","GO:0005654, nucleoplasm"
HUMAN00021_570to673,Q6ZVT0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00025_112to277,P43489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00026_1to93,Q9BRK5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00030_1to74,Q5T7M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00032_172to238,Q8N2K1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00034_369to401,Q96P50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00034_519to658,Q96P50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00046_376to408,O14640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00046_507to677,O14640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00046_90to243,O14640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00047_365to400,Q9BRK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00048_1to65,Q9NWT8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
HUMAN00048_89to138,Q9NWT8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
HUMAN00050_1to33,Q96S94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00050_300to520,Q96S94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00055_1to36,E5RJM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00056_1to158,A6NKF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00060_1to114,Q5T9A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00061_1to133,Q9NVI7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00070_1to75,O75900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00075_1to420,P21127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00077_1to34,P0CK96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00089_1128to1172,Q9C0B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00089_1to128,Q9C0B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00089_357to492,Q9C0B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00089_662to730,Q9C0B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00090_1to35,O14764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00090_339to419,O14764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00091_182to239,Q05513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00094_1to145,Q6NZ36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00096_20to85,P12755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00096_312to586,P12755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00097_390to428,Q5T089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00097_467to497,Q5T089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00104_475to618,O75038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00109_121to159,Q5TA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00110_228to283,Q92956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00112_1to84,Q495T6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00115_1to67,Q9HAZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00115_213to1276,Q9HAZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00117_1to250,Q5VV41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00119_1to34,O75095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00120_1to58,Q5T0D9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00122_28to112,O15350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00122_300to354,O15350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00122_374to489,O15350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00123_1to452,Q2M243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00123_592to656,Q2M243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00124_1to30,B2RUZ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00125_262to304,Q8N1G4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00125_514to543,Q8N1G4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00127_158to201,O60308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00127_259to418,O60308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00127_685to743,O60308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00127_871to925,O60308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00132_1to243,Q8IYL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00133_37to333,Q9UKB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00134_453to563,O75161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00140_1203to1252,Q8TDI0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00140_1328to1405,Q8TDI0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00140_1532to1699,Q8TDI0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00140_1to131,Q8TDI0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00140_200to341,Q8TDI0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00140_651to681,Q8TDI0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00146_358to408,Q6ZRF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00146_546to634,Q6ZRF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00149_85to171,Q5TGS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00150_187to264,Q6NV75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00150_319to609,Q6NV75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00159_205to333,O94827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00159_71to128,O94827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00159_747to1044,O94827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00160_1to110,Q5SY16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00160_672to702,Q5SY16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00162_89to316,P10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00164_1to228,Q86YI8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00165_88to239,Q8WTV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00172_1172to1485,Q9Y6Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00172_1606to1673,Q9Y6Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00172_186to862,Q9Y6Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00172_988to1031,Q9Y6Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00178_1to49,P56645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00178_416to785,P56645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00178_875to1095,P56645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00180_1to98,O95399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00182_152to255,Q07011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00187_1to373,Q9UJM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00187_416to462,Q9UJM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00190_1to111,Q9Y2W3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00190_328to538,Q9Y2W3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00191_1507to1566,Q9P2R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00191_1to84,Q9P2R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00191_443to1499,Q9P2R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00200_298to335,Q5UAW9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00204_372to629,Q5SNT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00207_819to971,O94985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00209_50to81,Q9NSA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00212_110to145,Q9HAN9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00216_1to152,O95155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00216_218to408,O95155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00224_1to39,O00230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00224_59to92,O00230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00225_202to234,O00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00226_137to377,O75381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00226_71to108,O75381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00227_1045to1154,Q86V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00227_1317to1399,Q86V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00227_1587to1759,Q86V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00227_373to456,Q86V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00227_47to341,Q86V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00227_686to999,Q86V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00230_263to316,Q13148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00230_338to414,Q13148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00241_135to184,Q01780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00241_580to885,Q01780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00242_1809to1868,P42345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00242_2434to2486,P42345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00243_1to33,O43827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00243_95to125,O43827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00244_1to42,Q9Y5Z9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00246_156to252,Q9P2K9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00246_1to42,Q9P2K9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00247_1to44,Q9UK22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00250_262to293,Q9NRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00253_1to273,Q8NBI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00256_124to159,Q6RW13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00258_1155to1468,Q5SNV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00258_1to654,Q5SNV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00258_731to781,Q5SNV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00258_826to883,Q5SNV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00259_1to39,P42898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00261_1to41,P51797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00261_666to696,P51797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00263_1to134,P16860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00264_1to43,Q8IYS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00269_1to388,Q5JXC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00270_159to226,P28908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00270_317to510,P28908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00271_193to376,P20333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00271_390to461,P20333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_1558to1610,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_1741to1779,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_1839to1868,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_2419to2460,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_2597to2633,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_747to793,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00272_908to945,Q5THJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00305_145to1691,Q13029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00310_34to253,Q9NW97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00311_100to352,B1AJZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00311_1057to1282,B1AJZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00311_1356to1412,B1AJZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00311_590to705,B1AJZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00311_921to1032,B1AJZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00314_1to82,Q96C19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00323_560to596,Q9Y2G8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00323_718to749,Q9Y2G8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00324_1to43,Q9BSE5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00325_365to399,Q5TDH0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00325_80to133,Q5TDH0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00326_1to565,Q92681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00327_168to585,Q8IWE5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00328_1to41,Q6PIV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00330_1to178,Q8WUP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HUMAN00333_603to3493,Q96T58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00333_88to331,Q96T58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00335_114to304,Q13105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00336_1to33,Q8NEQ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00336_95to146,Q8NEQ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00342_1to280,Q96AQ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00344_1to348,Q8IW93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00347_1to43,Q6P3S6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00347_373to638,Q6P3S6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00348_1to152,Q7Z422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00350_1to215,Q7Z572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00350_341to373,Q7Z572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00350_411to469,Q7Z572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00360_1331to1542,Q5TZA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00360_1713to1759,Q5TZA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00360_1983to2017,Q5TZA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00360_1to654,Q5TZA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00361_1to100,P55001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00362_116to156,Q9NQ11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00365_1to36,P21912,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
HUMAN00373_1to79,Q9P258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00374_1131to1168,Q9HCE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00374_1to309,Q9HCE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00377_300to403,Q5VTJ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00377_45to255,Q5VTJ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00378_145to228,P23759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00378_378to453,P23759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00381_1to183,Q5TF58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00381_312to380,Q5TF58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00381_481to517,Q5TF58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00382_1616to1655,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_1731to1783,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_2437to2470,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_2708to2965,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_3037to3077,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_3334to3387,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_429to465,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_550to588,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00382_598to635,Q5T4S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00389_1to35,O43488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00398_125to181,P41271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00400_224to261,P50406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00400_342to440,P50406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00401_1to31,Q5TGY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00401_524to634,Q5TGY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00402_104to227,Q9NXI6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00402_1to36,Q9NXI6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00403_191to397,Q5T2D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00403_1to49,Q5T2D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00411_1to195,Q96LJ8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00412_580to806,Q5TIE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00412_921to1139,Q5TIE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00415_1to78,Q7Z7J9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00417_210to329,Q6ZT52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00419_180to210,Q9BXM7,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
HUMAN00420_1to38,P39656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00421_367to825,Q9P2E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00421_901to1029,Q9P2E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00422_152to265,Q6ZV89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00422_394to423,Q6ZV89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00424_1to156,Q5SSJ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00424_417to553,Q5SSJ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUMAN00428_1to43,P42892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
